rule_code,rule_name,rule_description,pest,severity,growth_stage,symptoms
RULE-PB-BER-GEN-891599,penggerek batang - berat - generatif,Aturan pemeriksaan penggerek batang tingkat berat pada fase generatif. Diagnosis hanya dilanjutkan bila ada bukti keberadaan hama dan gejala kerusakan tanaman.,penggerek batang,berat,generatif,"Banyak malai putih dan tegak;Malai putih, tegak, dan gabah hampa (beluk);Larva ditemukan di dalam batang;Ada saluran bekas makan di dalam batang"
RULE-PB-BER-VEG-56D62B,penggerek batang - berat - vegetatif,Aturan pemeriksaan penggerek batang tingkat berat pada fase vegetatif. Diagnosis hanya dilanjutkan bila ada bukti keberadaan hama dan gejala kerusakan tanaman.,penggerek batang,berat,vegetatif,Banyak anakan mati pada area yang terserang;Pucuk/anakan tengah kering dan mudah dicabut (sundep);Larva ditemukan di dalam batang;Ada saluran bekas makan di dalam batang
RULE-WS-BER-GEN-6BA7D6,walang sangit - berat - generatif,Aturan pemeriksaan walang sangit tingkat berat pada fase generatif. Diagnosis hanya dilanjutkan bila ada bukti keberadaan hama dan gejala kerusakan tanaman.,walang sangit,berat,generatif,Walang sangit dewasa terlihat pada malai;Nimfa walang sangit terlihat pada malai;Banyak gabah hampa dan sangat ringan;Gabah keriput atau berwarna putih kapur
RULE-WBC-BER-GEN-2EFA60,wereng batang cokelat - berat - generatif,Aturan pemeriksaan wereng batang cokelat tingkat berat pada fase generatif. Diagnosis hanya dilanjutkan bila ada bukti keberadaan hama dan gejala kerusakan tanaman.,wereng batang cokelat,berat,generatif,Wereng terlihat di pangkal batang;Hopperburn: rumpun cokelat dan kering seperti terbakar;Banyak rumpun mati pada area serangan;Ada lapisan hitam seperti jelaga di pangkal batang
RULE-WBC-BER-VEG-DB8CCE,wereng batang cokelat - berat - vegetatif,Aturan pemeriksaan wereng batang cokelat tingkat berat pada fase vegetatif. Diagnosis hanya dilanjutkan bila ada bukti keberadaan hama dan gejala kerusakan tanaman.,wereng batang cokelat,berat,vegetatif,Wereng terlihat di pangkal batang;Hopperburn: rumpun cokelat dan kering seperti terbakar;Banyak rumpun mati pada area serangan;Ada lapisan hitam seperti jelaga di pangkal batang
RULE-PB-RIN-GEN-FEC4C0,penggerek batang - ringan - generatif,Aturan pemeriksaan penggerek batang tingkat ringan pada fase generatif. Diagnosis hanya dilanjutkan bila ada bukti keberadaan hama dan gejala kerusakan tanaman.,penggerek batang,ringan,generatif,"Malai putih, tegak, dan gabah hampa (beluk);Lubang kecil pada pelepah atau batang;Serbuk atau kotoran gerekan di sekitar lubang;Larva ditemukan di dalam batang"
RULE-PB-RIN-VEG-84E12E,penggerek batang - ringan - vegetatif,Aturan pemeriksaan penggerek batang tingkat ringan pada fase vegetatif. Diagnosis hanya dilanjutkan bila ada bukti keberadaan hama dan gejala kerusakan tanaman.,penggerek batang,ringan,vegetatif,Pucuk/anakan tengah kering dan mudah dicabut (sundep);Lubang kecil pada pelepah atau batang;Serbuk atau kotoran gerekan di sekitar lubang;Larva ditemukan di dalam batang
RULE-WS-RIN-GEN-32168D,walang sangit - ringan - generatif,Aturan pemeriksaan walang sangit tingkat ringan pada fase generatif. Diagnosis hanya dilanjutkan bila ada bukti keberadaan hama dan gejala kerusakan tanaman.,walang sangit,ringan,generatif,Walang sangit dewasa terlihat pada malai;Nimfa walang sangit terlihat pada malai;Ada bekas tusukan atau bintik cokelat pada gabah
RULE-WBC-RIN-GEN-BDC783,wereng batang cokelat - ringan - generatif,Aturan pemeriksaan wereng batang cokelat tingkat ringan pada fase generatif. Diagnosis hanya dilanjutkan bila ada bukti keberadaan hama dan gejala kerusakan tanaman.,wereng batang cokelat,ringan,generatif,Wereng terlihat di pangkal batang;Pangkal batang terasa lengket karena embun madu;Daun bagian bawah mulai menguning
RULE-WBC-RIN-VEG-250499,wereng batang cokelat - ringan - vegetatif,Aturan pemeriksaan wereng batang cokelat tingkat ringan pada fase vegetatif. Diagnosis hanya dilanjutkan bila ada bukti keberadaan hama dan gejala kerusakan tanaman.,wereng batang cokelat,ringan,vegetatif,Wereng terlihat di pangkal batang;Pangkal batang terasa lengket karena embun madu;Daun bagian bawah mulai menguning
