no,name,original_name,description,pest,growth_stage,severity,symptom_type,rule_role,is_core_symptom,field_reliability,diagnostic_specificity,user_observable,recommended_for_rule,default_weight,expert_note
1,Pucuk/anakan tengah kering dan mudah dicabut (sundep),Gejala sundep pada fase vegetatif,"Pucuk atau anakan tengah menguning lalu kering dan mudah dicabut. Periksa batang untuk mencari lubang, serbuk gerekan, atau larva.",penggerek batang,vegetatif,ringan|sedang|berat,damage,severity_anchor,True,tinggi,tinggi,True,True,0.95,"Sundep adalah gejala khas fase vegetatif, tetapi konfirmasi tetap perlu dilakukan pada batang."
2,"Malai putih, tegak, dan gabah hampa (beluk)",Gejala beluk / malai putih,"Malai memutih lebih awal, tetap tegak, dan gabah tidak berisi. Periksa pangkal malai atau batang untuk memastikan adanya kerusakan penggerek.",penggerek batang,generatif,ringan|sedang|berat,damage,severity_anchor,True,tinggi,tinggi,True,True,0.95,"Beluk adalah gejala khas fase generatif, tetapi perlu dibedakan dari malai hampa karena penyebab lain."
3,Lubang kecil pada pelepah atau batang,Lubang kecil pada batang atau pelepah,Terlihat lubang kecil pada pelepah atau batang. Cari serbuk gerekan di sekitar lubang untuk memperkuat pemeriksaan.,penggerek batang,vegetatif|generatif,ringan|sedang|berat,identity,identity,True,tinggi,tinggi,True,True,0.9,Bukti langsung aktivitas larva di batang.
4,Serbuk atau kotoran gerekan di sekitar lubang,Serbuk gerekan di batang,"Ada serbuk atau kotoran halus di sekitar lubang, sela pelepah, atau pangkal batang.",penggerek batang,vegetatif|generatif,ringan|sedang|berat,identity,identity,True,tinggi,tinggi,True,True,0.92,Lebih kuat bila ditemukan bersama lubang atau larva.
5,Larva ditemukan di dalam batang,Larva penggerek di dalam batang,"Saat batang yang bergejala dibelah, terlihat larva di dalam ruas batang.",penggerek batang,vegetatif|generatif,ringan|sedang|berat,identity,identity,True,tinggi,tinggi,True,True,1.0,Bukti langsung yang sangat kuat.
6,Ada saluran bekas makan di dalam batang,Bekas makan pada jaringan dalam batang,"Saat batang dibelah, bagian dalam tampak berlubang atau memiliki saluran bekas makan larva.",penggerek batang,vegetatif|generatif,ringan|sedang|berat,identity,identity,True,tinggi,tinggi,True,True,0.92,Bukti kuat bila terlihat pada batang yang bergejala.
7,Daun tengah mudah dicabut,Daun tengah mudah dicabut,Daun atau pucuk tengah dapat ditarik dengan mudah karena bagian dalam batang telah rusak.,penggerek batang,vegetatif,ringan|sedang|berat,damage,damage,True,tinggi,tinggi,True,True,0.9,Gunakan bersama bukti pada batang.
8,Beberapa anakan dalam rumpun mati,Anakan mati bertahap,"Beberapa anakan dalam satu rumpun menguning lalu mati, sedangkan anakan lain masih hidup.",penggerek batang,vegetatif,sedang|berat,damage,damage,True,sedang,sedang,True,True,0.82,Menunjukkan dampak yang mulai nyata.
9,Banyak anakan mati pada area yang terserang,Titik tumbuh mati,Banyak anakan atau titik tumbuh mati pada bagian lahan yang terserang.,penggerek batang,vegetatif,berat,damage,severity_anchor,True,tinggi,tinggi,True,True,0.95,Penanda dampak berat; tetap perlu bukti penggerek pada batang.
10,Banyak malai putih dan tegak,Malai putih prematur / whitehead,"Malai putih dan tegak terlihat pada banyak rumpun, sementara tanaman di sekitarnya masih hijau.",penggerek batang,generatif,berat,damage,severity_anchor,True,tinggi,tinggi,True,True,0.98,"Penanda dampak berat; cari lubang, gerekan, atau larva."
11,Gabah hampa pada malai yang memutih,Malai kosong / bulir tidak terisi,Gabah pada malai putih tidak terisi atau sangat ringan.,penggerek batang,generatif,sedang|berat,damage,damage,True,sedang,sedang,True,True,0.82,Tidak spesifik bila tidak disertai beluk atau bukti pada batang.
12,Kelompok telur tertutup bulu halus pada daun,Kelompok telur berambut,Kelompok telur pada daun tampak tertutup bulu halus berwarna kekuningan atau kecokelatan.,penggerek batang,vegetatif|generatif,ringan|sedang|berat,supporting,supporting,False,sedang,sedang,True,False,0.6,"Berguna untuk pemantauan dan pencegahan, tetapi tidak cukup untuk menentukan diagnosis sendiri."
13,Walang sangit dewasa terlihat pada malai,Serangga dewasa walang sangit,Serangga dewasa bertubuh ramping dan berkaki panjang terlihat hinggap atau bergerak di malai.,walang sangit,generatif,ringan|sedang|berat,identity,identity,True,tinggi,tinggi,True,True,1.0,Bukti langsung keberadaan hama.
14,Nimfa walang sangit terlihat pada malai,Nimfa walang sangit pada malai,Nimfa berwarna hijau hingga kecokelatan terlihat di antara bulir atau tangkai malai.,walang sangit,generatif,ringan|sedang|berat,identity,identity,True,tinggi,tinggi,True,True,0.98,Bukti langsung keberadaan hama.
15,Ada bekas tusukan atau bintik cokelat pada gabah,Bercak coklat/hitam pada bulir,"Kulit gabah memiliki titik tusukan atau bintik cokelat kehitaman, terutama pada bulir yang sedang mengisi.",walang sangit,generatif,ringan|sedang|berat,damage,severity_anchor,True,tinggi,tinggi,True,True,0.92,Periksa bersama keberadaan walang sangit atau nimfanya.
16,"Gabah berisi sedikit, kecil, atau hampa sebagian",Bulir hampa sebagian,"Sebagian gabah tidak terisi penuh, berukuran kecil, atau terasa ringan.",walang sangit,generatif,sedang|berat,damage,damage,True,sedang,sedang,True,True,0.88,Dampak umum serangan saat pengisian bulir; perlu bukti hama.
17,Gabah berubah bentuk atau bercak saat mulai mengeras,Malai tampak kusam,"Gabah tampak berubah bentuk, kusam, atau bercak ketika mulai mengeras.",walang sangit,generatif,sedang|berat,damage,damage,True,sedang,sedang,True,True,0.84,"Sesuai kerusakan pada tahap adonan, tetapi perlu bukti hama."
18,Gabah keriput atau berwarna putih kapur,Gabah berwarna kapur,"Gabah atau beras tampak keriput, rapuh, atau putih seperti kapur akibat pengisian terganggu.",walang sangit,generatif,sedang|berat,damage,damage,True,sedang,sedang,True,True,0.82,Tidak spesifik bila berdiri sendiri.
19,Banyak gabah hampa dan sangat ringan,Bobot gabah menurun,"Pada area yang terserang, banyak gabah tidak berisi dan bobot malai terasa jauh lebih ringan.",walang sangit,generatif,berat,damage,severity_anchor,True,tinggi,tinggi,True,True,0.95,Penanda dampak berat; harus disertai bukti walang sangit.
20,Telur walang sangit tersusun berbaris,Telur walang sangit berbaris,Telur tersusun berbaris pada daun atau bagian tanaman dekat malai.,walang sangit,generatif,ringan|sedang|berat,supporting,supporting,False,sedang,sedang,True,False,0.6,"Berguna untuk pemantauan, bukan penentu tunggal diagnosis."
21,Bau menyengat muncul saat serangga terganggu,Aroma khas walang sangit,Bau menyengat tercium ketika serangga pada malai terganggu.,walang sangit,generatif,ringan|sedang|berat,supporting,supporting,False,sedang,rendah,True,False,0.55,Hanya gejala pendukung karena bau dapat sulit dinilai secara konsisten.
22,Wereng terlihat di pangkal batang,Wereng di pangkal batang,"Wereng dewasa atau nimfa terlihat bergerombol di pangkal batang, dekat permukaan air.",wereng batang cokelat,vegetatif|generatif,ringan|sedang|berat,identity,identity,True,tinggi,tinggi,True,True,1.0,Bukti langsung keberadaan wereng batang cokelat.
23,Pangkal batang terasa lengket karena embun madu,Batang lengket oleh embun madu,Pangkal batang atau daun bagian bawah terasa lengket karena cairan manis yang dikeluarkan wereng.,wereng batang cokelat,vegetatif|generatif,ringan|sedang|berat,identity,identity,True,tinggi,tinggi,True,True,0.92,Bukti pendukung kuat bila ada wereng di pangkal.
24,Ada lapisan hitam seperti jelaga di pangkal batang,Jamur jelaga hitam pada pangkal batang,Lapisan hitam tumbuh pada bagian yang lengket di pangkal batang.,wereng batang cokelat,vegetatif|generatif,sedang|berat,identity,identity,True,tinggi,tinggi,True,True,0.88,Biasanya berkembang pada embun madu.
25,Ada kulit bekas ganti kulit wereng di pangkal batang,Bekas kulit wereng pada batang,Kulit tipis berwarna putih terlihat menempel di pangkal batang setelah nimfa berganti kulit.,wereng batang cokelat,vegetatif|generatif,ringan|sedang|berat,identity,identity,True,sedang,tinggi,True,True,0.84,Membantu memastikan keberadaan wereng.
26,Daun bagian bawah mulai menguning,Daun mulai menguning di bagian bawah,"Daun bawah mulai menguning, tetapi tanaman belum membentuk area cokelat atau kering luas.",wereng batang cokelat,vegetatif|generatif,ringan|sedang,damage,severity_anchor,True,sedang,sedang,True,True,0.82,Gejala awal yang harus dikonfirmasi dengan wereng di pangkal.
27,Beberapa rumpun menguning dan mulai menyebar,Tanaman menguning tiba-tiba,Beberapa rumpun menguning dalam satu titik serangan dan area tersebut mulai bertambah luas.,wereng batang cokelat,vegetatif|generatif,sedang,damage,severity_anchor,True,tinggi,sedang,True,True,0.88,Periksa pangkal batang pada rumpun yang masih hidup di tepi area serangan.
28,Pertumbuhan dan pembentukan anakan melambat,Pertumbuhan anakan melambat,Tanaman tumbuh lebih lambat dan pembentukan anakan baru berkurang.,wereng batang cokelat,vegetatif,sedang,damage,damage,True,sedang,rendah,True,True,0.72,Tidak spesifik; harus disertai bukti wereng.
29,Tanaman layu atau kering meski air cukup,Batang/tanaman layu meski air cukup,"Tanaman layu atau mengering walaupun air tersedia, terutama pada area dengan banyak wereng.",wereng batang cokelat,vegetatif|generatif,sedang|berat,damage,damage,True,sedang,sedang,True,True,0.82,"Perlu dibedakan dari gangguan akar, penyakit, atau masalah air."
30,Hopperburn: rumpun cokelat dan kering seperti terbakar,Hopperburn / tanaman seperti terbakar,"Rumpun berubah dari kuning menjadi cokelat lalu kering seperti terbakar, biasanya membentuk petak serangan.",wereng batang cokelat,vegetatif|generatif,berat,damage,severity_anchor,True,tinggi,tinggi,True,True,1.0,"Gejala serangan berat, tetapi tetap periksa keberadaan wereng di pangkal atau tepi area."
31,Banyak rumpun mati pada area serangan,Rumpun mati serempak,Banyak rumpun dalam satu area mati dan mengering dalam waktu berdekatan.,wereng batang cokelat,vegetatif|generatif,berat,damage,severity_anchor,True,tinggi,tinggi,True,True,0.98,Penanda dampak berat; tetap membutuhkan bukti wereng.
32,Kerusakan membentuk petak atau lingkaran,Area serangan melingkar,Kerusakan berawal dari satu titik lalu meluas membentuk petak atau lingkaran.,wereng batang cokelat,vegetatif|generatif,sedang|berat,supporting,supporting,False,sedang,sedang,True,False,0.6,"Pola pendukung, bukan bukti tunggal."
