no,product_name,pesticide_type,formulation,ingredient_name,ingredient_concentration,ingredient_unit,nama_komoditas,target_pest,dose_value,dose_unit,registered_at,expired_at
1,BASUNDEP 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,penggerek batang,2,ml/l,2024-03-04,2029-03-04
2,"HOOWLA 5,7 SG",Insektisida,SG,emamektin benzoat,5.7,%,padi,penggerek batang,2.25,g/l,2024-09-19,2029-09-19
3,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,penggerek batang,200,g/ha,2022-06-27,2027-06-27
4,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,penggerek batang,200,g/ha,2022-06-27,2027-06-27
5,MEURTIEUR 30 EC,Insektisida,EC,Emamektin benzoat,30,g/l,padi,penggerek batang,1.5,ml/l,2024-08-09,2029-08-09
6,PHOSCORMITE 18 EC,Insektisida,EC,Abamektin,18,g/l,padi,penggerek batang,1,ml/l,2024-09-19,2029-09-19
7,TAMAFUR 3 GR,Insektisida,GR,Karbofuran,3,%,padi,penggerek batang,17,kg/ha,2026-01-20,2031-01-20
8,TRUPER 3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,10,kg/ha,2026-01-20,2031-01-20
9,REGENT 0.3 GR,Insektisida,GR,Fipronil,0.3,%,padi,penggerek batang,10,kg/ha,2026-04-20,2031-04-20
10,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,walang sangit,200,g/ha,2022-06-27,2027-06-27
11,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,walang sangit,200,g/ha,2022-06-27,2027-06-27
12,BAZAK 29/12 WG,Insektisida,WG,Dinotefuran,12,%,padi,wereng batang cokelat,2,g/l,2025-02-17,2030-02-17
13,BAZAK 29/12 WG,Insektisida,WG,Pimetrozin,29,%,padi,wereng batang cokelat,2,g/l,2025-02-17,2030-02-17
14,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,wereng batang cokelat,200,g/ha,2022-06-27,2027-06-27
15,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,wereng batang cokelat,200,g/ha,2022-06-27,2027-06-27
16,ABAKTIN 18 EC,Insektisida,EC,Abamectin,18,%,padi,penggerek batang,"1,5",ml/l,2024-03-05,2029-03-05
17,ABAPEAK 32 EC,Insektisida,EC,Abamektin,32,g/l,padi,penggerek batang,1,ml/l,2024-11-18,2029-11-18
18,AFONIL 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,5",ml/l,2023-08-28,2028-08-28
19,AGENT 50 SC,Insektisida,SC,fipronil,50,g/l,padi,penggerek batang,2,ml/l,2023-04-26,2028-04-26
20,AJAR 450 SL,Insektisida,SL,Dimehipo,450,g/l,padi,penggerek batang,"1,5",ml/l,2025-07-11,2030-07-11
21,ALFAMEX 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,1.5,ml/l,2023-02-08,2028-02-08
22,ALPHADINE 6 GR,Insektisida,GR,dimehipo,6,%,padi,penggerek batang,12,kg/ha,2022-06-27,2027-06-27
23,"AMFIPRON 0,3 GR",Insektisida,GR,Fipronil,"0,3",%,padi,penggerek batang,25,kg/ha,2023-04-26,2028-04-26
24,AMURON 20/50 EC,Insektisida,EC,Emamektin benzoat,20,g/l,padi,penggerek batang,1,ml/l,2024-03-04,2029-03-04
25,AMURON 20/50 EC,Insektisida,EC,Heksaflumuron,50,g/l,padi,penggerek batang,1,ml/l,2024-03-04,2029-03-04
26,ANDROMEDA 50/100 EC,Insektisida,EC,Abamektin,50,g/l,padi,penggerek batang,1,ml/l,2024-08-09,2029-08-09
27,ANDROMEDA 50/100 EC,Insektisida,EC,Asetamiprid,100,g/l,padi,penggerek batang,1,ml/l,2024-08-09,2029-08-09
28,"Aneto 0,5 GR",Insektisida,GR,fipronil,"0,5",%,padi,penggerek batang,1,kg/ha,2025-11-13,2030-11-13
29,Aneto 50 EC,Insektisida,EC,fipronil,50,g/l,padi,penggerek batang,1,l/ha,2024-11-18,2029-11-18
30,APOTAP 40/3 WP,Insektisida,WP,Fipronil,3,%,padi,penggerek batang,1,g/l,2024-09-19,2029-09-19
31,APOTAP 40/3 WP,Insektisida,WP,Kartap,40,%,padi,penggerek batang,1,g/l,2024-09-19,2029-09-19
32,ASPRIL 100 SC,Insektisida,SC,Fipronil,100,g/l,padi,penggerek batang,1,ml/l,2022-12-05,2027-12-05
33,ASSOCIATE 40/160 SC,Insektisida,SC,emamektin benzoat,40,g/l,padi,penggerek batang,1,ml/l,2025-11-13,2030-11-13
34,ASSOCIATE 40/160 SC,Insektisida,SC,indosakarb,160,g/l,padi,penggerek batang,1,ml/l,2025-11-13,2030-11-13
35,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
36,BELT EXPERT 480 SC,Insektisida,SC,flubendiamida,240,g/l,padi,penggerek batang,0.75,ml/l,2024-03-05,2029-03-05
37,BELT EXPERT 480 SC,Insektisida,SC,tiakloprid,240,g/l,padi,penggerek batang,0.75,ml/l,2024-03-05,2029-03-05
38,BENZAPYR 20/100 SC,Insektisida,SC,emamektin benzoat,20,g/l,padi,penggerek batang,"2,25",ml/l,2026-01-20,2031-01-20
39,BENZAPYR 20/100 SC,Insektisida,SC,klorfenapir,100,g/l,padi,penggerek batang,"2,25",ml/l,2026-01-20,2031-01-20
40,BESHIPO 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,penggerek batang,"1,5",ml/l,2023-04-26,2028-04-26
41,BESVIDOR 25 WP,Insektisida,WP,Imidakloprid,25,%,padi,penggerek batang,"1,5 - 2",g/l,2025-09-26,2030-09-26
42,BIOGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,25",l/ha,2022-12-05,2027-12-05
43,CENTADINE 450 SL,Insektisida,SL,dimehipo,450,g/l,padi,penggerek batang,3,ml/l,2022-10-04,2027-10-04
44,CENTAFUR 3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,"18,75",kg/ha,2023-08-28,2028-08-28
45,CERBERUS 200 SC,Insektisida,SC,Klorantraniliprol,200,g/l,padi,penggerek batang,1,ml/l,2026-01-20,2031-01-20
46,CONQUER 100/200 SC,Insektisida,SC,Klorantraniliprol,100,g/l,padi,penggerek batang,"0,4",ml/l,2025-07-11,2030-07-11
47,CONQUER 100/200 SC,Insektisida,SC,Tiametoksam,200,g/l,padi,penggerek batang,"0,4",ml/l,2025-07-11,2030-07-11
48,CONSTEL 105/420 SC,Insektisida,SC,Klorantraniliprol,105,g/l,padi,penggerek batang,0.75,ml/l,2025-02-17,2030-02-17
49,CONSTEL 105/420 SC,Insektisida,SC,Metoksifenosida,420,g/l,padi,penggerek batang,0.75,ml/l,2025-02-17,2030-02-17
50,CURATERR 3 GR,Insektisida,GR,Karbofuran,3,%,padi,penggerek batang,"12,75",kg/ha,2024-03-04,2029-03-04
51,D-REJEN 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,2,ml/l,2025-11-13,2030-11-13
52,DANATAN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2023-02-08,2028-02-08
53,DELADAXIN 50/90 SC,Insektisida,SC,Spinetoram,90,g/l,padi,penggerek batang,1.7,ml/l,2022-12-05,2027-12-05
54,DELADAXIN 50/90 SC,Insektisida,SC,Triflumezopyrim,50,g/l,padi,penggerek batang,1.7,ml/l,2022-12-05,2027-12-05
55,DEMOLISH 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,1,ml/l,2024-03-04,2029-03-04
56,DESTAR 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,1,ml/l,2022-10-04,2027-10-04
57,Dharmafur 3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,17,kg/ha,2022-12-05,2027-12-05
58,Dharmafur 3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,25.5,kg/ha,2022-12-05,2027-12-05
59,DIME-TAN 500 SL,Insektisida,SL,DIMEHIPO,500,g/l,padi,penggerek batang,2,ml/l,2024-09-19,2029-09-19
60,DIMECTIN 18 EC,Insektisida,EC,Abamektin,18,g/l,padi,penggerek batang,1,ml/l,2023-08-28,2028-08-28
61,DIPHO 290 SL,Insektisida,SL,Dimehipo,290,g/l,padi,penggerek batang,"1,5",ml/l,2025-11-13,2030-11-13
62,DIPHO 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,"2,25",ml/l,2022-10-04,2027-10-04
63,DYNASTY 400 SL,Insektisida,SL,Bisultap,400,g/l,padi,penggerek batang,1,ml/l,2023-02-08,2028-02-08
64,ENDURE 120 SC,Insektisida,SC,Spinetoram,120,g/l,padi,penggerek batang,1,ml/l,2022-06-27,2027-06-27
65,ET-HIPO 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,penggerek batang,2,ml/l,2025-11-13,2030-11-13
66,EXPERTO 300 SC,Insektisida,SC,Imidakloprid,200,g/l,padi,penggerek batang,"1,5",ml/l,2023-04-26,2028-04-26
67,EXPERTO 300 SC,Insektisida,SC,Klorfenapir,100,g/l,padi,penggerek batang,"1,5",ml/l,2023-04-26,2028-04-26
68,FASTREX 36 EC,Insektisida,EC,Abamektin,36,g/l,padi,penggerek batang,1,ml/l,2024-11-18,2029-11-18
69,FERADIPO 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,penggerek batang,2.5,ml/l,2023-08-28,2028-08-28
70,FIPRON 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"1,5",ml/l,2024-11-18,2029-11-18
71,FIPROS 55 SC,Insektisida,SC,fipronil,55,g/l,padi,penggerek batang,"0,5 - 1",ml/l,2023-02-08,2028-02-08
72,FLUPRID 240/240 SC,Insektisida,SC,Flubendiamida,240,g/l,padi,penggerek batang,"0,5",ml/l,2022-10-04,2027-10-04
73,FLUPRID 240/240 SC,Insektisida,SC,Tiakloprid,240,g/l,padi,penggerek batang,"0,5",ml/l,2022-10-04,2027-10-04
74,FORZA 50 SC,Insektisida,SC,fipronil,50,g/l,padi,penggerek batang,2,ml/l,2023-02-08,2028-02-08
75,FREECOR 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,3,ml/l,2023-02-08,2028-02-08
76,FURADAN 3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,"25,5",kg/ha,2026-04-20,2031-04-20
77,FURANO 3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,15,kg/ha,2026-01-20,2031-01-20
78,FURINDO 3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,15,kg/ha,2025-11-13,2030-11-13
79,FURROZ 40/20 WG,Insektisida,WG,dinotefuran,20,%,padi,penggerek batang,0.5,g/l,2024-03-04,2029-03-04
80,FURROZ 40/20 WG,Insektisida,WG,pymetrozine,40,%,padi,penggerek batang,0.5,g/l,2024-03-04,2029-03-04
81,Gallery 403 SL,Insektisida,SL,Dimehipo,403,g/l,padi,penggerek batang,1,ml/l,2025-11-13,2030-11-13
82,GARNET 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,2,ml/l,2026-01-20,2031-01-20
83,GHOZI 160/20 OD,Insektisida,OD,Emamektin benzoat,20,g/l,padi,penggerek batang,1.5,ml/l,2022-06-27,2027-06-27
84,GHOZI 160/20 OD,Insektisida,OD,Indoksakarb,160,g/l,padi,penggerek batang,1.5,ml/l,2022-06-27,2027-06-27
85,HOKITAN 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,penggerek batang,2,ml/l,2024-03-05,2029-03-05
86,HOPROLE PLUS 160/20 OD,Insektisida,OD,Emamektin benzoat,20,g/l,padi,penggerek batang,1,ml/l,2022-10-04,2027-10-04
87,HOPROLE PLUS 160/20 OD,Insektisida,OD,Indoksakarb,160,g/l,padi,penggerek batang,1,ml/l,2022-10-04,2027-10-04
88,INDODINE 485 SL,Insektisida,SL,Dimehipo,485,g/l,padi,penggerek batang,"0,5",ml/l,2025-09-26,2030-09-26
89,INDODINE 6 GR,Insektisida,GR,dimehipo,6,%,padi,penggerek batang,12,kg/ha,2022-10-04,2027-10-04
90,INDOMEC 20 EC,Insektisida,EC,abamektin,20,g/l,padi,penggerek batang,2,ml/l,2024-03-05,2029-03-05
91,JADUG 30 EC,Insektisida,EC,Emamektin Benzoat,30,g/l,padi,penggerek batang,2,ml/l,2025-07-11,2030-07-11
92,JAMBO 200 ME,Insektisida,ME,abamektin,2,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
